0.2,0.21,0.001,1,0.3355,0.3355,1.342,1.342,6.71,13.42,270,90,0.9,69.16,0
0.001,0.001,0.001,1,0.949,0.949,0.949,0.4745,9.49,9.49,270,90,0.9,71.8,34.11
0.001,0.21,0.22,1,0.4745,0.4745,0.4745,0.949,9.49,9.49,270,90,0.9,62.37,31.18
0.2,0.001,0.22,1,0.894,0.894,0.894,0.447,8.94,8.94,240,80,0.9,18.66,78.15
0.001,0.001,0.001,2,0.949,0.949,0.4745,0.4745,9.49,9.49,270,90,0.1,33.12,133
0.001,0.21,0.22,2,0.632,0.632,1.265,0.6325,6.32,12.65,240,80,0.1,80.13,35.78
0.2,0.001,0.001,2,0.671,0.671,0.671,0.3355,13.42,6.71,270,90,0.1,31.37,130.11
0.2,0.21,0.22,2,0.3355,0.3355,1.342,1.342,6.71,13.42,270,90,0.1,25.66,152.56
0.001,0.21,0.001,2,0.632,0.632,1.265,1.265,6.32,12.65,240,80,0.9,96.98,0
0.2,0.21,0.001,1,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.9,23.57,142.67
0.001,0.001,0.001,2,0.632,0.632,1.265,0.6325,6.32,12.65,240,80,0.9,60.2,27.49
0.001,0.001,0.001,1,0.3355,0.3355,1.342,0.671,6.71,13.42,270,90,0.9,36.69,141.78
0.2,0.001,0.22,1,0.707,0.707,0.3535,0.3535,14.14,7.07,300,100,0.1,12.91,55.45
0.2,0.21,0.22,1,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,0.9,28.23,151.67
0.001,0.21,0.22,2,0.671,0.671,0.3355,0.3355,13.42,6.71,270,90,0.9,43.49,161.11
0.2,0.001,0.001,1,0.894,0.894,0.447,0.894,8.94,8.94,240,80,0.9,90.19,0
0.001,0.21,0.22,1,0.3535,0.3535,1.414,0.707,7.07,14.14,300,100,0.1,52.27,0.34
0.001,0.21,0.22,2,0.447,0.447,0.447,0.894,8.94,8.94,240,80,0.1,71.01,28.81
0.2,0.21,0.22,1,0.707,0.707,0.707,1.414,7.07,14.14,300,100,0.9,49.5,22.94
0.2,0.001,0.001,1,0.671,0.671,0.671,0.671,6.71,13.42,270,90,0.9,10.08,55.43
0.001,0.001,0.22,2,0.894,0.894,0.447,0.447,8.94,8.94,240,80,0.9,81.08,37.74
0.001,0.001,0.22,2,1.342,1.342,0.3355,0.3355,13.42,6.71,270,90,0.1,0.05,57.93
0.001,0.21,0.22,2,0.894,0.894,0.447,0.894,8.94,8.94,240,80,0.1,23.75,153
0.2,0.001,0.22,2,1.265,1.265,0.316,0.632,12.65,6.32,240,80,0.9,60.18,27.11
0.001,0.001,0.22,2,1,1,0.5,0.5,10,10,300,100,0.9,30.57,118.7
0.2,0.21,0.001,2,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,0.9,11.6,57.53
0.001,0.21,0.22,1,0.632,0.632,0.6325,1.265,6.32,12.65,240,80,0.9,86.01,0
0.2,0.001,0.001,1,0.3355,0.3355,0.671,0.671,6.71,13.42,270,90,0.1,61.39,0
0.2,0.21,0.001,1,0.707,0.707,1.414,0.707,7.07,14.14,300,100,0.9,0.39,57.09
0.2,0.001,0.001,1,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,0.9,70.21,27.51
0.001,0.21,0.22,2,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,0.1,70.46,32.16
0.2,0.001,0.22,2,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,0.9,18.76,130.89
0.2,0.001,0.001,1,0.316,0.316,1.265,1.265,6.32,12.65,240,80,0.9,70.46,31.51
0.001,0.001,0.001,2,1.265,1.265,0.316,0.316,12.65,6.32,240,80,0.1,14.14,67.7
0.001,0.21,0.001,1,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,0.1,56.26,0.52
0.001,0.21,0.22,1,0.632,0.632,1.265,1.265,6.32,12.65,240,80,0.1,78.85,26.8
0.2,0.21,0.22,1,1.414,1.414,0.707,0.707,14.14,7.07,300,100,0.9,0.02,49.55
0.001,0.21,0.001,1,0.671,0.671,1.342,0.671,6.71,13.42,270,90,0.9,0.05,52.77
0.2,0.001,0.22,2,1.342,1.342,0.3355,0.671,13.42,6.71,270,90,0.9,66.17,0.15
0.001,0.21,0.22,1,0.316,0.316,0.6325,0.6325,6.32,12.65,240,80,0.9,87,0
0.2,0.001,0.001,1,0.447,0.447,0.447,0.894,8.94,8.94,240,80,0.1,70.99,0
0.2,0.001,0.001,2,0.3355,0.3355,1.342,0.671,6.71,13.42,270,90,0.9,58.11,0.16
0.2,0.001,0.001,1,1,1,1,1,10,10,300,100,0.9,56.57,29.76
0.001,0.001,0.001,1,0.447,0.447,0.894,0.894,8.94,8.94,240,80,0.1,69.04,0
0.2,0.001,0.22,1,0.4745,0.4745,0.949,0.4745,9.49,9.49,270,90,0.9,37.91,147.67
0.2,0.001,0.22,1,1.414,1.414,0.3535,0.707,14.14,7.07,300,100,0.1,71.99,30.31
0.001,0.21,0.001,2,0.3535,0.3535,0.707,0.707,7.07,14.14,300,100,0.9,0.12,53.3
0.001,0.001,0.001,2,0.671,0.671,0.671,0.671,6.71,13.42,270,90,0.9,24.66,146.78
0.001,0.21,0.001,1,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.9,60.86,0
0.2,0.001,0.001,2,0.4745,0.4745,0.949,0.949,9.49,9.49,270,90,0.9,80.74,34.16
0.001,0.001,0.22,1,0.671,0.671,1.342,0.671,6.71,13.42,270,90,0.1,36.68,144.33
0.2,0.001,0.22,1,1.342,1.342,0.3355,0.3355,13.42,6.71,270,90,0.1,37.91,147.67
0.2,0.21,0.001,2,1.265,1.265,0.316,0.632,12.65,6.32,240,80,0.1,91.38,40.73
0.001,0.21,0.22,1,0.5,0.5,0.5,1,10,10,300,100,0.9,12.6,51.49
0.2,0.21,0.22,2,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.1,13.18,56.89
0.2,0.21,0.001,2,0.671,0.671,0.671,0.671,6.71,13.42,270,90,0.1,22.66,142.56
0.2,0.001,0.001,2,0.707,0.707,0.707,1.414,7.07,14.14,300,100,0.1,11.06,55.43
0.2,0.21,0.001,1,1.265,1.265,0.632,0.632,12.65,6.32,240,80,0.9,69.64,26.53
0.001,0.001,0.22,2,0.707,0.707,1.414,1.414,7.07,14.14,300,100,0.1,56.98,0
0.2,0.001,0.22,2,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.1,86.22,0
0.2,0.001,0.001,2,0.894,0.894,0.894,0.894,8.94,8.94,240,80,0.1,0.16,63.6
0.2,0.21,0.22,2,1.265,1.265,0.632,0.632,12.65,6.32,240,80,0.9,88.11,0
0.001,0.21,0.001,1,1,1,0.5,0.5,10,10,300,100,0.9,72.97,30.03
0.001,0.21,0.001,1,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.1,26.48,148
0.001,0.001,0.001,2,0.3355,0.3355,0.671,1.342,6.71,13.42,270,90,0.1,11.89,62.13
0.2,0.001,0.22,1,0.671,0.671,0.3355,0.671,13.42,6.71,270,90,0.9,12.77,67.13
0.2,0.001,0.001,1,1.265,1.265,0.632,0.316,12.65,6.32,240,80,0.9,60.18,27.11
0.2,0.21,0.22,2,1.414,1.414,0.707,0.3535,14.14,7.07,300,100,0.9,12.52,59.54
0.2,0.001,0.22,1,0.447,0.447,0.894,0.447,8.94,8.94,240,80,0.1,47.89,175
0.001,0.21,0.22,2,0.3535,0.3535,0.707,0.707,7.07,14.14,300,100,0.1,55.75,21.39
0.001,0.21,0.22,1,0.6325,0.6325,0.316,0.316,12.65,6.32,240,80,0.9,91.93,0
0.001,0.21,0.001,1,1.342,1.342,0.671,0.671,13.42,6.71,270,90,0.9,37.46,146.89
0.001,0.001,0.001,2,0.707,0.707,0.707,0.707,7.07,14.14,300,100,0.1,19.22,120.8
0.001,0.21,0.22,2,0.671,0.671,0.3355,0.671,13.42,6.71,270,90,0.9,24.48,148
0.001,0.001,0.22,2,0.707,0.707,0.707,1.414,7.07,14.14,300,100,0.9,20.35,125.5
0.2,0.001,0.001,2,0.632,0.632,0.6325,1.265,6.32,12.65,240,80,0.9,83.79,0.08
0.2,0.21,0.001,2,0.707,0.707,0.707,0.3535,14.14,7.07,300,100,0.9,37.03,139.9
0.001,0.21,0.001,1,0.5,0.5,0.5,0.5,10,10,300,100,0.9,68.46,0.02
0.001,0.21,0.22,2,1.265,1.265,0.316,0.316,12.65,6.32,240,80,0.9,45.54,173.13
0.2,0.21,0.22,2,0.316,0.316,0.6325,1.265,6.32,12.65,240,80,0.1,74.38,0.12
0.2,0.21,0.22,1,0.632,0.632,0.6325,1.265,6.32,12.65,240,80,0.9,35.65,148.38
0.001,0.21,0.22,2,1.414,1.414,0.707,0.707,14.14,7.07,300,100,0.9,0.32,53.85
0.001,0.001,0.001,2,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,0.9,36.68,144.33
0.001,0.21,0.22,1,0.949,0.949,0.4745,0.4745,9.49,9.49,270,90,0.1,57.93,0.29
0.2,0.001,0.22,2,0.4745,0.4745,0.949,0.4745,9.49,9.49,270,90,0.1,40.34,153.11
0.001,0.001,0.001,1,0.316,0.316,1.265,1.265,6.32,12.65,240,80,0.1,29.74,167.25
0.001,0.001,0.22,1,0.632,0.632,1.265,0.6325,6.32,12.65,240,80,0.1,46.34,175.25
0.2,0.001,0.001,1,0.316,0.316,0.6325,0.6325,6.32,12.65,240,80,0.1,75.61,0.05
0.2,0.21,0.001,2,0.671,0.671,0.3355,0.671,13.42,6.71,270,90,0.1,74.98,0
0.2,0.001,0.001,1,1.342,1.342,0.671,0.3355,13.42,6.71,270,90,0.9,10.71,57.14
0.2,0.21,0.22,1,0.3355,0.3355,0.671,1.342,6.71,13.42,270,90,0.1,0.04,54.29
0.001,0.001,0.22,1,0.4745,0.4745,0.949,0.949,9.49,9.49,270,90,0.1,12.73,57.92
0.2,0.21,0.001,1,1.414,1.414,0.3535,0.3535,14.14,7.07,300,100,0.1,63.71,24.41
0.2,0.21,0.001,2,1.414,1.414,0.707,0.3535,14.14,7.07,300,100,0.9,12.95,52.86
0.2,0.001,0.001,1,0.707,0.707,1.414,1.414,7.07,14.14,300,100,0.9,55.75,21.4
0.001,0.21,0.22,2,1.414,1.414,0.707,0.707,14.14,7.07,300,100,0.9,14.18,56.06
0.2,0.001,0.001,1,0.707,0.707,0.707,0.3535,14.14,7.07,300,100,0.1,34.69,132.7
0.001,0.001,0.22,2,0.707,0.707,0.707,0.707,7.07,14.14,300,100,0.1,0.02,52.84
0.2,0.001,0.001,2,1.265,1.265,0.316,0.632,12.65,6.32,240,80,0.9,86.26,0
0.001,0.001,0.001,1,0.671,0.671,0.671,0.3355,13.42,6.71,270,90,0.9,26.18,150
0.001,0.21,0.22,1,1.414,1.414,0.707,0.3535,14.14,7.07,300,100,0.9,53.96,0
0.001,0.001,0.22,1,1.414,1.414,0.707,0.707,14.14,7.07,300,100,0.1,33.02,127.6
0.001,0.21,0.22,2,0.3355,0.3355,0.671,1.342,6.71,13.42,270,90,0.9,61.19,0
0.2,0.21,0.22,2,0.6325,0.6325,0.632,0.316,12.65,6.32,240,80,0.1,64.51,0.14
0.2,0.001,0.22,1,1.342,1.342,0.3355,0.3355,13.42,6.71,270,90,0.1,61.6,23.86
0.2,0.21,0.001,2,0.632,0.632,0.6325,0.6325,6.32,12.65,240,80,0.1,26.93,157.5
0.2,0.001,0.001,2,0.671,0.671,0.671,0.3355,13.42,6.71,270,90,0.9,63.63,0
0.001,0.001,0.22,2,0.632,0.632,0.6325,1.265,6.32,12.65,240,80,0.1,60.54,26.39
0.001,0.21,0.22,2,0.671,0.671,0.671,0.3355,13.42,6.71,270,90,0.9,58.68,0
0.2,0.21,0.001,1,0.6325,0.6325,0.632,0.316,12.65,6.32,240,80,0.1,64.84,0.19
0.001,0.001,0.001,1,0.3355,0.3355,0.671,1.342,6.71,13.42,270,90,0.9,28.52,154.67
0.001,0.001,0.22,2,0.316,0.316,1.265,0.6325,6.32,12.65,240,80,0.1,79.3,34.51
0.2,0.21,0.001,1,0.949,0.949,0.4745,0.4745,9.49,9.49,270,90,0.9,25.57,151.78
0.001,0.21,0.001,1,0.447,0.447,0.447,0.894,8.94,8.94,240,80,0.9,81.41,36.86
0.001,0.001,0.22,2,0.632,0.632,0.6325,0.6325,6.32,12.65,240,80,0.1,80.46,37.16
0.001,0.001,0.22,1,0.6325,0.6325,0.632,0.316,12.65,6.32,240,80,0.9,11.3,61.86
0.2,0.001,0.22,1,1,1,0.5,0.5,10,10,300,100,0.9,0.02,49.55
0.001,0.21,0.001,1,0.6325,0.6325,0.632,0.632,12.65,6.32,240,80,0.1,12.53,71.54
0.001,0.001,0.22,1,0.316,0.316,0.6325,1.265,6.32,12.65,240,80,0.9,17.26,72.73
