0.0001,0.0001,0.0001,100,5,20.00,300,87.18,24.88
0.0001,0.0001,0.0001,100,5.1,19.61,300,87,24.8
0.0001,0.0001,0.0001,100,5.2,19.23,300,85.82,24.22
0.0001,0.0001,0.0001,100,5.3,18.87,300,85.18,23.65
0.0001,0.0001,0.0001,100,5.4,18.52,300,85.21,23.66
0.0001,0.0001,0.0001,100,5.5,18.18,300,85.24,23.67
0.0001,0.0001,0.0001,100,5.6,17.86,300,85.27,23.68
0.0001,0.0001,0.0001,100,5.7,17.54,300,85.31,23.69
0.0001,0.0001,0.0001,100,5.8,17.24,300,85.34,23.71
0.0001,0.0001,0.0001,100,5.9,16.95,300,85.37,23.72
0.0001,0.0001,0.0001,100,6,16.67,300,85.4,23.73
0.0001,0.0001,0.0001,100,6.1,16.39,300,85.43,23.74
0.0001,0.0001,0.0001,100,6.2,16.13,300,85.47,23.75
0.0001,0.0001,0.0001,100,6.3,15.87,300,85.72,24.18
0.0001,0.0001,0.0001,100,6.4,15.63,300,85.5,23.76
0.0001,0.0001,0.0001,100,6.5,15.38,300,85.53,23.77
0.0001,0.0001,0.0001,100,6.6,15.15,300,85.57,23.79
0.0001,0.0001,0.0001,100,6.7,14.93,300,85.6,23.8
0.0001,0.0001,0.0001,100,6.8,14.71,300,85.63,23.81
0.0001,0.0001,0.0001,100,6.9,14.49,300,85.67,23.82
0.0001,0.0001,0.0001,100,7,14.29,300,85.7,23.83
0.0001,0.0001,0.0001,100,7.1,14.08,300,85.74,23.85
0.0001,0.0001,0.0001,100,7.2,13.89,300,85.77,23.86
0.0001,0.0001,0.0001,100,7.3,13.70,300,85.81,23.87
0.0001,0.0001,0.0001,100,7.4,13.51,300,85.63,24.13
0.0001,0.0001,0.0001,100,7.5,13.33,300,85.85,23.89
0.0001,0.0001,0.0001,100,7.6,13.16,300,85.88,23.9
0.0001,0.0001,0.0001,100,7.7,12.99,300,85.92,23.91
0.0001,0.0001,0.0001,100,7.8,12.82,300,85.95,23.92
0.0001,0.0001,0.0001,100,7.9,12.66,300,85.99,23.94
0.0001,0.0001,0.0001,100,8,12.50,300,86.03,23.95
0.0001,0.0001,0.0001,100,8.1,12.35,300,86.07,23.97
0.0001,0.0001,0.0001,100,8.2,12.20,300,86.1,23.98
0.0001,0.0001,0.0001,100,8.3,12.05,300,86.14,23.99
0.0001,0.0001,0.0001,100,8.4,11.90,300,86.18,24.01
0.0001,0.0001,0.0001,100,8.5,11.76,300,85.54,24.09
0.0001,0.0001,0.0001,100,8.6,11.63,300,86.22,24.02
